TTD	ConcludedLocation	ActualLocation
178	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
484	Vector3r(8.0, 3.0, 0.0)	Vector3r(8.0, 3.0, 0.0)
302	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
292	Vector3r(3.0, 4.0, 0.0)	Vector3r(3.0, 4.0, 0.0)
720	Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
921	Vector3r(5.0, 0.0, 0.0)	Vector3r(5.0, 0.0, 0.0)
992	Vector3r(8.0, 4.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
258	Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
324	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
331	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
643	Vector3r(1.0, 4.0, 0.0)	Vector3r(1.0, 4.0, 0.0)
892	Vector3r(3.0, 6.0, 0.0)	Vector3r(3.0, 6.0, 0.0)
804	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
475	Vector3r(7.0, 3.0, 0.0)	Vector3r(7.0, 3.0, 0.0)
354	Vector3r(5.0, 9.0, 0.0)	Vector3r(5.0, 9.0, 0.0)
605	Vector3r(7.0, 1.0, 0.0)	Vector3r(7.0, 1.0, 0.0)
1417	Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
573	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 7.0, 0.0)
259	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
777	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
436	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
486	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 5.0, 0.0)
297	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
186	Vector3r(7.0, 7.0, 0.0)	Vector3r(7.0, 7.0, 0.0)
610	Vector3r(1.0, 7.0, 0.0)	Vector3r(1.0, 7.0, 0.0)
685	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
198	Vector3r(4.0, 7.0, 0.0)	Vector3r(4.0, 7.0, 0.0)
481	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
578	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
590	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
555	Vector3r(8.0, 7.0, 0.0)	Vector3r(8.0, 7.0, 0.0)
570	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
436	Vector3r(4.0, 1.0, 0.0)	Vector3r(4.0, 1.0, 0.0)
484	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
471	Vector3r(5.0, 8.0, 0.0)	Vector3r(5.0, 8.0, 0.0)
396	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
347	Vector3r(5.0, 5.0, 0.0)	Vector3r(5.0, 5.0, 0.0)
360	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
353	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
222	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
822	Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
358	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
494	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
489	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 5.0, 0.0)
264	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
925	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
369	Vector3r(2.0, 5.0, 0.0)	Vector3r(2.0, 5.0, 0.0)
553	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
132	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
460	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
241	Vector3r(3.0, 4.0, 0.0)	Vector3r(3.0, 4.0, 0.0)
328	Vector3r(8.0, 4.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
544	Vector3r(9.0, 6.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
1266	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
740	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
211	Vector3r(4.0, 0.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
807	Vector3r(6.0, 9.0, 0.0)	Vector3r(6.0, 9.0, 0.0)
104	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
597	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
335	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
698	Vector3r(7.0, 3.0, 0.0)	Vector3r(7.0, 3.0, 0.0)
817	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
735	Vector3r(1.0, 4.0, 0.0)	Vector3r(1.0, 4.0, 0.0)
184	Vector3r(4.0, 8.0, 0.0)	Vector3r(4.0, 8.0, 0.0)
78	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
988	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
407	Vector3r(4.0, 5.0, 0.0)	Vector3r(4.0, 5.0, 0.0)
354	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
492	Vector3r(3.0, 6.0, 0.0)	Vector3r(3.0, 6.0, 0.0)
584	Vector3r(3.0, 9.0, 0.0)	Vector3r(3.0, 9.0, 0.0)
190	Vector3r(1.0, 4.0, 0.0)	Vector3r(1.0, 4.0, 0.0)
466	Vector3r(7.0, 1.0, 0.0)	Vector3r(7.0, 1.0, 0.0)
500	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
629	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
382	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
444	Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
480	Vector3r(8.0, 4.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
468	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
951	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
592	Vector3r(2.0, 8.0, 0.0)	Vector3r(2.0, 8.0, 0.0)
324	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
259	Vector3r(3.0, 0.0, 0.0)	Vector3r(3.0, 0.0, 0.0)
267	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
657	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
300	Vector3r(5.0, 7.0, 0.0)	Vector3r(5.0, 7.0, 0.0)
386	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
365	Vector3r(7.0, 1.0, 0.0)	Vector3r(7.0, 1.0, 0.0)
275	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
1008	Vector3r(2.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
609	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
235	Vector3r(9.0, 3.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
494	Vector3r(1.0, 7.0, 0.0)	Vector3r(1.0, 7.0, 0.0)
557	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
308	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
284	Vector3r(6.0, 0.0, 0.0)	Vector3r(6.0, 0.0, 0.0)
