TTD	ConcludedLocation	ActualLocation
7	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
5	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
12	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
66	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
41	Vector3r(9.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
5	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
5	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
9	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
5	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
51	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
7	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
5	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
51	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
7	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
5	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
12	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
57	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
45	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
56	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
47	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
45	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
5	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
5	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
42	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
5	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
18	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
44	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
11	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
5	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
5	Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
4	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
6	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
7	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
57	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
7	Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
5	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
7	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
5	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
5	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
9	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
5	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
7	Vector3r(3.0, 2.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
68	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
5	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
5	Vector3r(3.0, 3.0, 0.0)	Vector3r(3.0, 3.0, 0.0)
5	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
7	Vector3r(2.0, 5.0, 0.0)	Vector3r(2.0, 5.0, 0.0)
9	Vector3r(6.0, 2.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
7	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
4	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
7	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
22	Vector3r(8.0, 8.0, 0.0)	Vector3r(8.0, 8.0, 0.0)
40	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
47	Vector3r(8.0, 7.0, 0.0)	Vector3r(8.0, 7.0, 0.0)
15	Vector3r(2.0, 5.0, 0.0)	Vector3r(2.0, 4.0, 0.0)
7	Vector3r(4.0, 7.0, 0.0)	Vector3r(4.0, 7.0, 0.0)
7	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
5	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
5	Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
5	Vector3r(0.0, 6.0, 0.0)	Vector3r(0.0, 6.0, 0.0)
5	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
5	Vector3r(8.0, 4.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
10	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
5	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
7	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
