TTD	ConcludedLocation	ActualLocation
393	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
580	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
330	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
758	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
347	Vector3r(9.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
393	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
386	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
994	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
601	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
233	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
512	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
510	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
497	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
549	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
355	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
470	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
580	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
345	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
355	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
585	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
274	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
480	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
747	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
460	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
593	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
587	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
368	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
379	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
400	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
333	Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
538	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
282	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
381	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
355	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
325	Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
674	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
399	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
502	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
768	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
204	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
392	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
395	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
269	Vector3r(4.0, 0.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
