TTD	ConcludedLocation	ActualLocation
579	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
225	Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
561	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
426	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 5.0, 0.0)
676	Vector3r(9.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
550	Vector3r(1.0, 6.0, 0.0)	Vector3r(1.0, 6.0, 0.0)
785	Vector3r(6.0, 2.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
657	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 9.0, 0.0)
388	Vector3r(5.0, 6.0, 0.0)	Vector3r(5.0, 6.0, 0.0)
825	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 1.0, 0.0)
710	Vector3r(2.0, 4.0, 0.0)	Vector3r(2.0, 4.0, 0.0)
491	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
671	Vector3r(7.0, 3.0, 0.0)	Vector3r(7.0, 3.0, 0.0)
405	Vector3r(1.0, 7.0, 0.0)	Vector3r(1.0, 7.0, 0.0)
739	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
403	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
1530	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
931	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
312	Vector3r(3.0, 4.0, 0.0)	Vector3r(3.0, 4.0, 0.0)
445	Vector3r(7.0, 8.0, 0.0)	Vector3r(7.0, 8.0, 0.0)
331	Vector3r(5.0, 5.0, 0.0)	Vector3r(5.0, 5.0, 0.0)
576	Vector3r(3.0, 3.0, 0.0)	Vector3r(4.0, 5.0, 0.0)
993	Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
434	Vector3r(9.0, 6.0, 0.0)	Vector3r(9.0, 6.0, 0.0)
522	Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
1187	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
407	Vector3r(5.0, 8.0, 0.0)	Vector3r(5.0, 8.0, 0.0)
705	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
256	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
73	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
701	Vector3r(5.0, 7.0, 0.0)	Vector3r(5.0, 7.0, 0.0)
659	Vector3r(4.0, 1.0, 0.0)	Vector3r(4.0, 1.0, 0.0)
1114	Vector3r(8.0, 8.0, 0.0)	Vector3r(8.0, 8.0, 0.0)
328	Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
869	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
538	Vector3r(1.0, 6.0, 0.0)	Vector3r(1.0, 6.0, 0.0)
329	Vector3r(8.0, 4.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
523	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
509	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
353	Vector3r(3.0, 6.0, 0.0)	Vector3r(3.0, 6.0, 0.0)
1237	Vector3r(1.0, 2.0, 0.0)	Vector3r(1.0, 2.0, 0.0)
783	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
663	Vector3r(5.0, 9.0, 0.0)	Vector3r(5.0, 9.0, 0.0)
497	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
1064	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
1290	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
453	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
337	Vector3r(3.0, 3.0, 0.0)	Vector3r(3.0, 3.0, 0.0)
407	Vector3r(5.0, 8.0, 0.0)	Vector3r(5.0, 8.0, 0.0)
961	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
1023	Vector3r(5.0, 4.0, 0.0)	Vector3r(5.0, 4.0, 0.0)
381	Vector3r(5.0, 5.0, 0.0)	Vector3r(5.0, 5.0, 0.0)
642	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 7.0, 0.0)
321	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
632	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 5.0, 0.0)
407	Vector3r(7.0, 5.0, 0.0)	Vector3r(7.0, 5.0, 0.0)
331	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
540	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
370	Vector3r(1.0, 4.0, 0.0)	Vector3r(1.0, 4.0, 0.0)
208	Vector3r(8.0, 6.0, 0.0)	Vector3r(8.0, 6.0, 0.0)
474	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
1300	Vector3r(3.0, 9.0, 0.0)	Vector3r(3.0, 9.0, 0.0)
574	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
552	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
