TTD	ConcludedLocation	ActualLocation
498	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
675	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
730	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
581	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
919	Vector3r(9.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
409	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
416	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
408	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
546	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
685	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
429	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
892	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
705	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
653	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
596	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
566	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
439	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
457	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
447	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
617	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
528	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
898	Vector3r(1.0, 6.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
679	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
725	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
604	Vector3r(3.0, 7.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
812	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
459	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
987	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
638	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
469	Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
464	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
451	Vector3r(4.0, 4.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
389	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
548	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
677	Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
528	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
582	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
521	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
634	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
561	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
447	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
607	Vector3r(3.0, 2.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
484	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
478	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
641	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 3.0, 0.0)
563	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
463	Vector3r(2.0, 5.0, 0.0)	Vector3r(2.0, 5.0, 0.0)
713	Vector3r(6.0, 2.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
611	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
402	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
414	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
490	Vector3r(8.0, 8.0, 0.0)	Vector3r(8.0, 8.0, 0.0)
509	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
692	Vector3r(8.0, 7.0, 0.0)	Vector3r(8.0, 7.0, 0.0)
667	Vector3r(2.0, 4.0, 0.0)	Vector3r(2.0, 4.0, 0.0)
531	Vector3r(4.0, 7.0, 0.0)	Vector3r(4.0, 7.0, 0.0)
413	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
507	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
654	Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
825	Vector3r(0.0, 6.0, 0.0)	Vector3r(0.0, 6.0, 0.0)
458	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
392	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
607	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
620	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
621	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
677	Vector3r(4.0, 3.0, 0.0)	Vector3r(3.0, 4.0, 0.0)
434	Vector3r(1.0, 7.0, 0.0)	Vector3r(1.0, 7.0, 0.0)
495	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
495	Vector3r(7.0, 5.0, 0.0)	Vector3r(7.0, 5.0, 0.0)
441	Vector3r(0.0, 5.0, 0.0)	Vector3r(6.0, 3.0, 0.0)
473	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
618	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
359	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
906	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
612	Vector3r(7.0, 6.0, 0.0)	Vector3r(7.0, 6.0, 0.0)
507	Vector3r(8.0, 2.0, 0.0)	Vector3r(8.0, 2.0, 0.0)
468	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
629	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
427	Vector3r(1.0, 9.0, 0.0)	Vector3r(1.0, 9.0, 0.0)
422	Vector3r(4.0, 8.0, 0.0)	Vector3r(4.0, 8.0, 0.0)
422	Vector3r(7.0, 6.0, 0.0)	Vector3r(8.0, 5.0, 0.0)
447	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
745	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
967	Vector3r(0.0, 8.0, 0.0)	Vector3r(0.0, 8.0, 0.0)
901	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
706	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
467	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
828	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
469	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
720	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
509	Vector3r(7.0, 8.0, 0.0)	Vector3r(7.0, 5.0, 0.0)
708	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
405	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
656	Vector3r(5.0, 4.0, 0.0)	Vector3r(5.0, 4.0, 0.0)
845	Vector3r(2.0, 9.0, 0.0)	Vector3r(2.0, 9.0, 0.0)
702	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
460	Vector3r(1.0, 4.0, 0.0)	Vector3r(1.0, 4.0, 0.0)
938	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
681	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
525	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
416	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
634	Vector3r(5.0, 3.0, 0.0)	Vector3r(5.0, 3.0, 0.0)
856	Vector3r(6.0, 9.0, 0.0)	Vector3r(6.0, 9.0, 0.0)
691	Vector3r(6.0, 0.0, 0.0)	Vector3r(6.0, 0.0, 0.0)
630	Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
440	Vector3r(0.0, 5.0, 0.0)	Vector3r(0.0, 5.0, 0.0)
608	Vector3r(7.0, 5.0, 0.0)	Vector3r(7.0, 5.0, 0.0)
700	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
612	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
524	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 7.0, 0.0)
639	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
435	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
406	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
661	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
741	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
518	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
495	Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
491	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
791	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 5.0, 0.0)
510	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
421	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
417	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
822	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
864	Vector3r(1.0, 9.0, 0.0)	Vector3r(1.0, 9.0, 0.0)
494	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
408	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
659	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
738	Vector3r(6.0, 0.0, 0.0)	Vector3r(6.0, 0.0, 0.0)
661	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
744	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
486	Vector3r(2.0, 7.0, 0.0)	Vector3r(2.0, 7.0, 0.0)
822	Vector3r(5.0, 9.0, 0.0)	Vector3r(5.0, 9.0, 0.0)
688	Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
655	Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
729	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
675	Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
530	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
514	Vector3r(8.0, 7.0, 0.0)	Vector3r(8.0, 7.0, 0.0)
482	Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
