TTD	ConcludedLocation	ActualLocation
118	Vector3r(5.0, 3.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
93	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
102	Vector3r(8.0, 0.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
100	Vector3r(9.0, 3.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
133	Vector3r(4.0, 1.0, 0.0)	Vector3r(1.0, 0.0, 0.0)
69	Vector3r(5.0, 0.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
87	Vector3r(3.0, 5.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
78	Vector3r(0.0, 0.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
101	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
126	Vector3r(5.0, 9.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
81	Vector3r(5.0, 1.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
112	Vector3r(8.0, 9.0, 0.0)	Vector3r(5.0, 4.0, 0.0)
114	Vector3r(2.0, 2.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
269	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
72	Vector3r(7.0, 7.0, 0.0)	Vector3r(6.0, 3.0, 0.0)
199	Vector3r(8.0, 6.0, 0.0)	Vector3r(1.0, 2.0, 0.0)
60	Vector3r(8.0, 8.0, 0.0)	Vector3r(8.0, 8.0, 0.0)
721	Vector3r(4.0, 3.0, 0.0)	Vector3r(4.0, 3.0, 0.0)
136	Vector3r(6.0, 6.0, 0.0)	Vector3r(1.0, 6.0, 0.0)
132	Vector3r(0.0, 2.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
64	Vector3r(1.0, 0.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
112	Vector3r(6.0, 7.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
278	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
102	Vector3r(5.0, 9.0, 0.0)	Vector3r(8.0, 2.0, 0.0)
153	Vector3r(8.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
216	Vector3r(9.0, 7.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
147	Vector3r(2.0, 4.0, 0.0)	Vector3r(9.0, 8.0, 0.0)
209	Vector3r(9.0, 1.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
248	Vector3r(4.0, 0.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
422	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 3.0, 0.0)
94	Vector3r(3.0, 6.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
32	Vector3r(9.0, 6.0, 0.0)	Vector3r(5.0, 9.0, 0.0)
79	Vector3r(1.0, 1.0, 0.0)	Vector3r(4.0, 7.0, 0.0)
33	Vector3r(0.0, 4.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
126	Vector3r(3.0, 7.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
94	Vector3r(6.0, 4.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
126	Vector3r(7.0, 1.0, 0.0)	Vector3r(5.0, 6.0, 0.0)
84	Vector3r(7.0, 1.0, 0.0)	Vector3r(7.0, 1.0, 0.0)
152	Vector3r(4.0, 0.0, 0.0)	Vector3r(9.0, 6.0, 0.0)
133	Vector3r(0.0, 4.0, 0.0)	Vector3r(1.0, 2.0, 0.0)
288	Vector3r(6.0, 3.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
39	Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
203	Vector3r(3.0, 3.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
