TTD	ConcludedLocation	ActualLocation
1810	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
2222	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
1871	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
2445	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
1655	Vector3r(9.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
2609	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
2216	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
2408	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
2346	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
2424	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
2290	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
1892	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
2305	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
2253	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
2247	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
2515	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
1196	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
2700	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
3047	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
2217	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
1328	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
2522	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
935	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
2445	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
2226	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
2815	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
2234	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
2223	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
2602	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
1869	Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
1064	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
1066	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
2275	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
2247	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
2677	Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
1728	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
2603	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
1900	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
2034	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
1761	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
3047	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
2207	Vector3r(3.0, 2.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
2202	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
2160	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
1237	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 3.0, 0.0)
2367	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
1863	Vector3r(2.0, 5.0, 0.0)	Vector3r(2.0, 5.0, 0.0)
1312	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
2612	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
1602	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
2214	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
2090	Vector3r(8.0, 8.0, 0.0)	Vector3r(8.0, 8.0, 0.0)
2109	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
2492	Vector3r(8.0, 7.0, 0.0)	Vector3r(8.0, 7.0, 0.0)
2867	Vector3r(2.0, 4.0, 0.0)	Vector3r(2.0, 4.0, 0.0)
1076	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 7.0, 0.0)
1053	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
1018	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
1261	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
2122	Vector3r(0.0, 6.0, 0.0)	Vector3r(0.0, 6.0, 0.0)
993	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
2090	Vector3r(8.0, 4.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
2121	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
1196	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
2698	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
3487	Vector3r(3.0, 4.0, 0.0)	Vector3r(3.0, 4.0, 0.0)
1824	Vector3r(1.0, 7.0, 0.0)	Vector3r(1.0, 7.0, 0.0)
2295	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
1895	Vector3r(7.0, 5.0, 0.0)	Vector3r(7.0, 5.0, 0.0)
2895	Vector3r(6.0, 3.0, 0.0)	Vector3r(6.0, 3.0, 0.0)
2419	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
2418	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
2060	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
1805	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
2012	Vector3r(7.0, 6.0, 0.0)	Vector3r(7.0, 6.0, 0.0)
1907	Vector3r(8.0, 2.0, 0.0)	Vector3r(8.0, 2.0, 0.0)
1668	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
1629	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
1627	Vector3r(1.0, 9.0, 0.0)	Vector3r(1.0, 9.0, 0.0)
1822	Vector3r(4.0, 8.0, 0.0)	Vector3r(4.0, 8.0, 0.0)
3224	Vector3r(8.0, 5.0, 0.0)	Vector3r(8.0, 5.0, 0.0)
2045	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
3209	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
1903	Vector3r(0.0, 8.0, 0.0)	Vector3r(0.0, 8.0, 0.0)
2101	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
2106	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
2067	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
2228	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
2069	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
1225	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
1377	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 5.0, 0.0)
2335	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
2405	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
2056	Vector3r(5.0, 4.0, 0.0)	Vector3r(5.0, 4.0, 0.0)
2645	Vector3r(2.0, 9.0, 0.0)	Vector3r(2.0, 9.0, 0.0)
2302	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
2660	Vector3r(1.0, 4.0, 0.0)	Vector3r(1.0, 4.0, 0.0)
2338	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
2881	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
2925	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
1616	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
2834	Vector3r(5.0, 3.0, 0.0)	Vector3r(5.0, 3.0, 0.0)
2656	Vector3r(6.0, 9.0, 0.0)	Vector3r(6.0, 9.0, 0.0)
1031	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 0.0, 0.0)
2857	Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
3073	Vector3r(0.0, 5.0, 0.0)	Vector3r(0.0, 5.0, 0.0)
1808	Vector3r(7.0, 5.0, 0.0)	Vector3r(7.0, 5.0, 0.0)
1900	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
2412	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
2505	Vector3r(3.0, 7.0, 0.0)	Vector3r(3.0, 7.0, 0.0)
3258	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
3035	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
2406	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
1197	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
2005	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
1072	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
1741	Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
1144	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
2411	Vector3r(8.0, 5.0, 0.0)	Vector3r(8.0, 5.0, 0.0)
2046	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
2212	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
1817	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
2422	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
2264	Vector3r(1.0, 9.0, 0.0)	Vector3r(1.0, 9.0, 0.0)
2294	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
3608	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
2259	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
1215	Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 0.0, 0.0)
3289	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
1839	Vector3r(9.0, 0.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
1233	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 7.0, 0.0)
3475	Vector3r(5.0, 9.0, 0.0)	Vector3r(5.0, 9.0, 0.0)
2288	Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
2455	Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
1929	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
2475	Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
1354	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
925	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 7.0, 0.0)
2047	Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
2111	Vector3r(0.0, 6.0, 0.0)	Vector3r(0.0, 6.0, 0.0)
2527	Vector3r(9.0, 8.0, 0.0)	Vector3r(9.0, 8.0, 0.0)
1891	Vector3r(2.0, 8.0, 0.0)	Vector3r(2.0, 8.0, 0.0)
954	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 3.0, 0.0)
2419	Vector3r(4.0, 5.0, 0.0)	Vector3r(4.0, 5.0, 0.0)
2226	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
2309	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
2075	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
1809	Vector3r(1.0, 7.0, 0.0)	Vector3r(1.0, 7.0, 0.0)
2691	Vector3r(1.0, 2.0, 0.0)	Vector3r(1.0, 2.0, 0.0)
1609	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
2296	Vector3r(5.0, 6.0, 0.0)	Vector3r(5.0, 6.0, 0.0)
2829	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
2238	Vector3r(5.0, 6.0, 0.0)	Vector3r(5.0, 6.0, 0.0)
3002	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
2238	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
2277	Vector3r(8.0, 4.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
2018	Vector3r(8.0, 5.0, 0.0)	Vector3r(8.0, 5.0, 0.0)
2312	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
2511	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
2502	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
2113	Vector3r(6.0, 9.0, 0.0)	Vector3r(6.0, 9.0, 0.0)
2012	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
2005	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
2681	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
2432	Vector3r(4.0, 1.0, 0.0)	Vector3r(4.0, 1.0, 0.0)
2663	Vector3r(5.0, 8.0, 0.0)	Vector3r(5.0, 8.0, 0.0)
2213	Vector3r(6.0, 9.0, 0.0)	Vector3r(6.0, 9.0, 0.0)
2228	Vector3r(2.0, 7.0, 0.0)	Vector3r(2.0, 7.0, 0.0)
2252	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
2622	Vector3r(9.0, 6.0, 0.0)	Vector3r(9.0, 6.0, 0.0)
2835	Vector3r(6.0, 2.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
1951	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
2079	Vector3r(3.0, 5.0, 0.0)	Vector3r(3.0, 5.0, 0.0)
2033	Vector3r(0.0, 8.0, 0.0)	Vector3r(0.0, 8.0, 0.0)
2480	Vector3r(6.0, 2.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
2522	Vector3r(0.0, 8.0, 0.0)	Vector3r(0.0, 8.0, 0.0)
2300	Vector3r(8.0, 0.0, 0.0)	Vector3r(8.0, 0.0, 0.0)
2468	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
1116	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 9.0, 0.0)
2003	Vector3r(7.0, 1.0, 0.0)	Vector3r(7.0, 1.0, 0.0)
1701	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
2057	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
2638	Vector3r(3.0, 2.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
1924	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
2409	Vector3r(6.0, 9.0, 0.0)	Vector3r(6.0, 9.0, 0.0)
1803	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
2289	Vector3r(6.0, 0.0, 0.0)	Vector3r(6.0, 0.0, 0.0)
1866	Vector3r(2.0, 4.0, 0.0)	Vector3r(2.0, 4.0, 0.0)
2525	Vector3r(4.0, 1.0, 0.0)	Vector3r(4.0, 1.0, 0.0)
1655	Vector3r(6.0, 2.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
2458	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
2054	Vector3r(4.0, 5.0, 0.0)	Vector3r(4.0, 5.0, 0.0)
2041	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
2043	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
995	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 3.0, 0.0)
1296	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 7.0, 0.0)
1822	Vector3r(5.0, 6.0, 0.0)	Vector3r(5.0, 6.0, 0.0)
1957	Vector3r(2.0, 8.0, 0.0)	Vector3r(2.0, 8.0, 0.0)
2090	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
3090	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
1568	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
3622	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
974	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
1075	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 9.0, 0.0)
3059	Vector3r(3.0, 3.0, 0.0)	Vector3r(3.0, 3.0, 0.0)
1827	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
2471	Vector3r(0.0, 5.0, 0.0)	Vector3r(0.0, 5.0, 0.0)
2005	Vector3r(4.0, 5.0, 0.0)	Vector3r(4.0, 5.0, 0.0)
2431	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
2449	Vector3r(7.0, 5.0, 0.0)	Vector3r(7.0, 5.0, 0.0)
2336	Vector3r(0.0, 6.0, 0.0)	Vector3r(0.0, 6.0, 0.0)
2062	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
2158	Vector3r(0.0, 8.0, 0.0)	Vector3r(0.0, 8.0, 0.0)
2073	Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
1826	Vector3r(6.0, 0.0, 0.0)	Vector3r(6.0, 0.0, 0.0)
1660	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
2529	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
2063	Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
2044	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
2204	Vector3r(8.0, 8.0, 0.0)	Vector3r(8.0, 8.0, 0.0)
2669	Vector3r(5.0, 4.0, 0.0)	Vector3r(5.0, 4.0, 0.0)
2521	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
1666	Vector3r(8.0, 6.0, 0.0)	Vector3r(8.0, 6.0, 0.0)
2448	Vector3r(1.0, 0.0, 0.0)	Vector3r(1.0, 0.0, 0.0)
2018	Vector3r(9.0, 9.0, 0.0)	Vector3r(9.0, 9.0, 0.0)
2298	Vector3r(5.0, 9.0, 0.0)	Vector3r(5.0, 9.0, 0.0)
2498	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
2615	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
2061	Vector3r(5.0, 6.0, 0.0)	Vector3r(5.0, 6.0, 0.0)
2672	Vector3r(6.0, 5.0, 0.0)	Vector3r(6.0, 5.0, 0.0)
2954	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
2821	Vector3r(2.0, 8.0, 0.0)	Vector3r(2.0, 8.0, 0.0)
2435	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
2717	Vector3r(6.0, 5.0, 0.0)	Vector3r(6.0, 5.0, 0.0)
1815	Vector3r(2.0, 7.0, 0.0)	Vector3r(2.0, 7.0, 0.0)
1884	Vector3r(4.0, 3.0, 0.0)	Vector3r(4.0, 3.0, 0.0)
1187	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 0.0, 0.0)
