TTD	ConcludedLocation	ActualLocation
242	Vector3r(3.0, 6.0, 0.0)	Vector3r(3.0, 6.0, 0.0)
132	Vector3r(4.0, 5.0, 0.0)	Vector3r(4.0, 5.0, 0.0)
166	Vector3r(6.0, 5.0, 0.0)	Vector3r(6.0, 5.0, 0.0)
430	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
445	Vector3r(0.0, 6.0, 0.0)	Vector3r(0.0, 6.0, 0.0)
127	Vector3r(7.0, 3.0, 0.0)	Vector3r(7.0, 3.0, 0.0)
535	Vector3r(7.0, 5.0, 0.0)	Vector3r(7.0, 5.0, 0.0)
185	Vector3r(5.0, 8.0, 0.0)	Vector3r(5.0, 8.0, 0.0)
248	Vector3r(6.0, 0.0, 0.0)	Vector3r(6.0, 0.0, 0.0)
259	Vector3r(7.0, 7.0, 0.0)	Vector3r(7.0, 7.0, 0.0)
460	Vector3r(9.0, 8.0, 0.0)	Vector3r(9.0, 8.0, 0.0)
319	Vector3r(4.0, 5.0, 0.0)	Vector3r(4.0, 5.0, 0.0)
295	Vector3r(7.0, 6.0, 0.0)	Vector3r(7.0, 6.0, 0.0)
285	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
141	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
307	Vector3r(1.0, 9.0, 0.0)	Vector3r(1.0, 9.0, 0.0)
230	Vector3r(6.0, 5.0, 0.0)	Vector3r(6.0, 5.0, 0.0)
505	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
495	Vector3r(7.0, 6.0, 0.0)	Vector3r(7.0, 6.0, 0.0)
362	Vector3r(1.0, 9.0, 0.0)	Vector3r(1.0, 9.0, 0.0)
549	Vector3r(1.0, 9.0, 0.0)	Vector3r(1.0, 9.0, 0.0)
235	Vector3r(1.0, 2.0, 0.0)	Vector3r(1.0, 2.0, 0.0)
580	Vector3r(0.0, 8.0, 0.0)	Vector3r(0.0, 8.0, 0.0)
250	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
89	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
297	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
131	Vector3r(1.0, 4.0, 0.0)	Vector3r(1.0, 4.0, 0.0)
229	Vector3r(6.0, 0.0, 0.0)	Vector3r(6.0, 0.0, 0.0)
260	Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
217	Vector3r(2.0, 9.0, 0.0)	Vector3r(2.0, 9.0, 0.0)
209	Vector3r(8.0, 4.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
224	Vector3r(1.0, 6.0, 0.0)	Vector3r(1.0, 6.0, 0.0)
279	Vector3r(1.0, 6.0, 0.0)	Vector3r(1.0, 6.0, 0.0)
291	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
108	Vector3r(5.0, 9.0, 0.0)	Vector3r(5.0, 9.0, 0.0)
358	Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
136	Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
263	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
244	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
211	Vector3r(4.0, 8.0, 0.0)	Vector3r(4.0, 8.0, 0.0)
193	Vector3r(8.0, 8.0, 0.0)	Vector3r(8.0, 8.0, 0.0)
286	Vector3r(3.0, 3.0, 0.0)	Vector3r(3.0, 3.0, 0.0)
118	Vector3r(6.0, 2.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
185	Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
206	Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
274	Vector3r(5.0, 0.0, 0.0)	Vector3r(5.0, 0.0, 0.0)
255	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
361	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
513	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 8.0, 0.0)
440	Vector3r(3.0, 9.0, 0.0)	Vector3r(3.0, 9.0, 0.0)
279	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
279	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
405	Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
321	Vector3r(4.0, 3.0, 0.0)	Vector3r(4.0, 3.0, 0.0)
281	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
197	Vector3r(8.0, 6.0, 0.0)	Vector3r(8.0, 6.0, 0.0)
283	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
134	Vector3r(3.0, 3.0, 0.0)	Vector3r(3.0, 3.0, 0.0)
220	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
111	Vector3r(7.0, 8.0, 0.0)	Vector3r(7.0, 8.0, 0.0)
138	Vector3r(4.0, 5.0, 0.0)	Vector3r(4.0, 5.0, 0.0)
500	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
305	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
168	Vector3r(3.0, 6.0, 0.0)	Vector3r(3.0, 6.0, 0.0)
373	Vector3r(6.0, 5.0, 0.0)	Vector3r(6.0, 5.0, 0.0)
376	Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 8.0, 0.0)
415	Vector3r(4.0, 5.0, 0.0)	Vector3r(4.0, 5.0, 0.0)
287	Vector3r(6.0, 6.0, 0.0)	Vector3r(6.0, 6.0, 0.0)
238	Vector3r(8.0, 0.0, 0.0)	Vector3r(8.0, 0.0, 0.0)
191	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
257	Vector3r(3.0, 7.0, 0.0)	Vector3r(3.0, 7.0, 0.0)
82	Vector3r(0.0, 6.0, 0.0)	Vector3r(0.0, 6.0, 0.0)
438	Vector3r(4.0, 7.0, 0.0)	Vector3r(4.0, 7.0, 0.0)
524	Vector3r(1.0, 6.0, 0.0)	Vector3r(1.0, 6.0, 0.0)
304	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 3.0, 0.0)
278	Vector3r(0.0, 6.0, 0.0)	Vector3r(0.0, 6.0, 0.0)
295	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
509	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 0.0, 0.0)
260	Vector3r(5.0, 0.0, 0.0)	Vector3r(5.0, 0.0, 0.0)
487	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
275	Vector3r(1.0, 2.0, 0.0)	Vector3r(1.0, 2.0, 0.0)
259	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
163	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
316	Vector3r(3.0, 6.0, 0.0)	Vector3r(3.0, 6.0, 0.0)
532	Vector3r(1.0, 9.0, 0.0)	Vector3r(1.0, 9.0, 0.0)
155	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
454	Vector3r(3.0, 2.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
298	Vector3r(9.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
241	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
375	Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0)
235	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
500	Vector3r(2.0, 8.0, 0.0)	Vector3r(2.0, 8.0, 0.0)
152	Vector3r(4.0, 1.0, 0.0)	Vector3r(4.0, 1.0, 0.0)
310	Vector3r(0.0, 5.0, 0.0)	Vector3r(0.0, 5.0, 0.0)
