TTD	ConcludedLocation	ActualLocation
158	Vector3r(3.0, 6.0, 0.0)	Vector3r(3.0, 6.0, 0.0)
177	Vector3r(9.0, 8.0, 0.0)	Vector3r(9.0, 8.0, 0.0)
143	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
256	Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 5.0, 0.0)
144	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
144	Vector3r(2.0, 4.0, 0.0)	Vector3r(9.0, 8.0, 0.0)
165	Vector3r(1.0, 4.0, 0.0)	Vector3r(1.0, 4.0, 0.0)
217	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 0.0, 0.0)
291	Vector3r(7.0, 6.0, 0.0)	Vector3r(7.0, 6.0, 0.0)
143	Vector3r(1.0, 9.0, 0.0)	Vector3r(1.0, 9.0, 0.0)
139	Vector3r(2.0, 9.0, 0.0)	Vector3r(2.0, 9.0, 0.0)
206	Vector3r(4.0, 7.0, 0.0)	Vector3r(4.0, 7.0, 0.0)
155	Vector3r(5.0, 0.0, 0.0)	Vector3r(5.0, 0.0, 0.0)
269	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 6.0, 0.0)
286	Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
183	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
226	Vector3r(1.0, 6.0, 0.0)	Vector3r(1.0, 6.0, 0.0)
155	Vector3r(8.0, 6.0, 0.0)	Vector3r(8.0, 6.0, 0.0)
317	Vector3r(5.0, 8.0, 0.0)	Vector3r(5.0, 8.0, 0.0)
293	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
447	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
278	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
220	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
237	Vector3r(9.0, 9.0, 0.0)	Vector3r(9.0, 9.0, 0.0)
149	Vector3r(7.0, 3.0, 0.0)	Vector3r(7.0, 3.0, 0.0)
304	Vector3r(8.0, 3.0, 0.0)	Vector3r(8.0, 3.0, 0.0)
174	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
135	Vector3r(3.0, 7.0, 0.0)	Vector3r(3.0, 7.0, 0.0)
160	Vector3r(8.0, 4.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
247	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
148	Vector3r(7.0, 6.0, 0.0)	Vector3r(7.0, 6.0, 0.0)
183	Vector3r(8.0, 8.0, 0.0)	Vector3r(5.0, 8.0, 0.0)
158	Vector3r(8.0, 4.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
167	Vector3r(2.0, 4.0, 0.0)	Vector3r(2.0, 4.0, 0.0)
