TTD	ConcludedLocation	ActualLocation
436	Vector3r(6.0, 8.0, 0.0),Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0),Vector3r(6.0, 8.0, 0.0)
1241	Vector3r(0.0, 3.0, 0.0),Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0),Vector3r(0.0, 3.0, 0.0)
965	Vector3r(6.0, 9.0, 0.0),Vector3r(2.0, 2.0, 0.0)	Vector3r(6.0, 9.0, 0.0),Vector3r(2.0, 2.0, 0.0)
1243	Vector3r(5.0, 3.0, 0.0),Vector3r(8.0, 3.0, 0.0)	Vector3r(8.0, 3.0, 0.0),Vector3r(5.0, 3.0, 0.0)
424	Vector3r(7.0, 6.0, 0.0),Vector3r(5.0, 4.0, 0.0)	Vector3r(9.0, 7.0, 0.0),Vector3r(7.0, 6.0, 0.0)
656	Vector3r(6.0, 7.0, 0.0),Vector3r(8.0, 0.0, 0.0)	Vector3r(6.0, 7.0, 0.0),Vector3r(8.0, 0.0, 0.0)
648	Vector3r(7.0, 3.0, 0.0),Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0),Vector3r(7.0, 3.0, 0.0)
881	Vector3r(1.0, 4.0, 0.0),Vector3r(8.0, 6.0, 0.0)	Vector3r(8.0, 6.0, 0.0),Vector3r(1.0, 4.0, 0.0)
500	Vector3r(1.0, 9.0, 0.0),Vector3r(5.0, 9.0, 0.0)	Vector3r(1.0, 9.0, 0.0),Vector3r(5.0, 9.0, 0.0)
772	Vector3r(6.0, 5.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 6.0, 0.0),Vector3r(6.0, 5.0, 0.0)
576	Vector3r(7.0, 3.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 8.0, 0.0),Vector3r(7.0, 3.0, 0.0)
1330	Vector3r(9.0, 7.0, 0.0),Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0),Vector3r(9.0, 7.0, 0.0)
483	Vector3r(9.0, 5.0, 0.0),Vector3r(7.0, 4.0, 0.0)	Vector3r(9.0, 5.0, 0.0),Vector3r(7.0, 4.0, 0.0)
431	Vector3r(0.0, 3.0, 0.0),Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0),Vector3r(0.0, 3.0, 0.0)
770	Vector3r(5.0, 5.0, 0.0),Vector3r(6.0, 2.0, 0.0)	Vector3r(6.0, 2.0, 0.0),Vector3r(5.0, 5.0, 0.0)
697	Vector3r(8.0, 2.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 4.0, 0.0),Vector3r(8.0, 2.0, 0.0)
1073	Vector3r(1.0, 0.0, 0.0),Vector3r(2.0, 8.0, 0.0)	Vector3r(1.0, 0.0, 0.0),Vector3r(2.0, 8.0, 0.0)
634	Vector3r(0.0, 9.0, 0.0),Vector3r(8.0, 8.0, 0.0)	Vector3r(0.0, 9.0, 0.0),Vector3r(8.0, 8.0, 0.0)
670	Vector3r(5.0, 3.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 5.0, 0.0),Vector3r(5.0, 3.0, 0.0)
1063	Vector3r(2.0, 0.0, 0.0),Vector3r(0.0, 3.0, 0.0)	Vector3r(2.0, 0.0, 0.0),Vector3r(0.0, 3.0, 0.0)
648	Vector3r(0.0, 3.0, 0.0),Vector3r(1.0, 9.0, 0.0)	Vector3r(1.0, 9.0, 0.0),Vector3r(0.0, 3.0, 0.0)
1165	Vector3r(9.0, 1.0, 0.0),Vector3r(6.0, 2.0, 0.0)	Vector3r(9.0, 1.0, 0.0),Vector3r(7.0, 2.0, 0.0)
815	Vector3r(5.0, 3.0, 0.0),Vector3r(7.0, 1.0, 0.0)	Vector3r(5.0, 3.0, 0.0),Vector3r(7.0, 1.0, 0.0)
1309	Vector3r(4.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 8.0, 0.0),Vector3r(4.0, 1.0, 0.0)
617	Vector3r(8.0, 0.0, 0.0),Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0),Vector3r(8.0, 0.0, 0.0)
658	Vector3r(0.0, 0.0, 0.0),Vector3r(3.0, 7.0, 0.0)	Vector3r(3.0, 7.0, 0.0),Vector3r(7.0, 1.0, 0.0)
813	Vector3r(6.0, 4.0, 0.0),Vector3r(0.0, 7.0, 0.0)	Vector3r(6.0, 4.0, 0.0),Vector3r(0.0, 7.0, 0.0)
1304	Vector3r(4.0, 8.0, 0.0),Vector3r(6.0, 7.0, 0.0)	Vector3r(4.0, 8.0, 0.0),Vector3r(6.0, 7.0, 0.0)
964	Vector3r(5.0, 8.0, 0.0),Vector3r(4.0, 3.0, 0.0)	Vector3r(4.0, 3.0, 0.0),Vector3r(5.0, 8.0, 0.0)
682	Vector3r(3.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 0.0, 0.0),Vector3r(3.0, 1.0, 0.0)
570	Vector3r(9.0, 0.0, 0.0),Vector3r(8.0, 6.0, 0.0)	Vector3r(8.0, 6.0, 0.0),Vector3r(9.0, 0.0, 0.0)
791	Vector3r(5.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 9.0, 0.0),Vector3r(5.0, 7.0, 0.0)
667	Vector3r(0.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 1.0, 0.0),Vector3r(0.0, 1.0, 0.0)
843	Vector3r(4.0, 3.0, 0.0),Vector3r(3.0, 7.0, 0.0)	Vector3r(4.0, 3.0, 0.0),Vector3r(3.0, 7.0, 0.0)
382	Vector3r(9.0, 2.0, 0.0),Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0),Vector3r(9.0, 8.0, 0.0)
669	Vector3r(6.0, 6.0, 0.0),Vector3r(6.0, 3.0, 0.0)	Vector3r(6.0, 3.0, 0.0),Vector3r(6.0, 6.0, 0.0)
586	Vector3r(2.0, 3.0, 0.0),Vector3r(5.0, 0.0, 0.0)	Vector3r(2.0, 3.0, 0.0),Vector3r(5.0, 0.0, 0.0)
511	Vector3r(0.0, 0.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 0.0, 0.0),Vector3r(0.0, 0.0, 0.0)
579	Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 5.0, 0.0),Vector3r(6.0, 7.0, 0.0)
907	Vector3r(6.0, 9.0, 0.0),Vector3r(9.0, 6.0, 0.0)	Vector3r(6.0, 9.0, 0.0),Vector3r(9.0, 6.0, 0.0)
518	Vector3r(3.0, 3.0, 0.0),Vector3r(9.0, 0.0, 0.0)	Vector3r(3.0, 3.0, 0.0),Vector3r(9.0, 0.0, 0.0)
1059	Vector3r(4.0, 0.0, 0.0),Vector3r(3.0, 1.0, 0.0)	Vector3r(4.0, 0.0, 0.0),Vector3r(3.0, 1.0, 0.0)
957	Vector3r(6.0, 6.0, 0.0),Vector3r(7.0, 2.0, 0.0)	Vector3r(6.0, 6.0, 0.0),Vector3r(7.0, 2.0, 0.0)
393	Vector3r(3.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 8.0, 0.0),Vector3r(3.0, 7.0, 0.0)
1304	Vector3r(3.0, 5.0, 0.0),Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0),Vector3r(3.0, 5.0, 0.0)
886	Vector3r(0.0, 3.0, 0.0),Vector3r(3.0, 0.0, 0.0)	Vector3r(3.0, 0.0, 0.0),Vector3r(0.0, 3.0, 0.0)
1146	Vector3r(7.0, 7.0, 0.0),Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0),Vector3r(7.0, 7.0, 0.0)
714	Vector3r(8.0, 3.0, 0.0),Vector3r(2.0, 9.0, 0.0)	Vector3r(8.0, 3.0, 0.0),Vector3r(4.0, 1.0, 0.0)
749	Vector3r(3.0, 9.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 1.0, 0.0),Vector3r(9.0, 1.0, 0.0)
476	Vector3r(2.0, 0.0, 0.0),Vector3r(8.0, 4.0, 0.0)	Vector3r(8.0, 4.0, 0.0),Vector3r(2.0, 0.0, 0.0)
285	Vector3r(7.0, 9.0, 0.0),Vector3r(6.0, 6.0, 0.0)	Vector3r(7.0, 9.0, 0.0),Vector3r(6.0, 6.0, 0.0)
980	Vector3r(8.0, 8.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 7.0, 0.0),Vector3r(8.0, 8.0, 0.0)
473	Vector3r(5.0, 4.0, 0.0),Vector3r(9.0, 0.0, 0.0)	Vector3r(5.0, 4.0, 0.0),Vector3r(9.0, 0.0, 0.0)
276	Vector3r(4.0, 7.0, 0.0),Vector3r(0.0, 5.0, 0.0)	Vector3r(4.0, 7.0, 0.0),Vector3r(0.0, 5.0, 0.0)
753	Vector3r(8.0, 4.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 4.0, 0.0),Vector3r(7.0, 4.0, 0.0)
1079	Vector3r(4.0, 8.0, 0.0),Vector3r(2.0, 1.0, 0.0)	Vector3r(4.0, 8.0, 0.0),Vector3r(2.0, 1.0, 0.0)
784	Vector3r(3.0, 7.0, 0.0),Vector3r(8.0, 6.0, 0.0)	Vector3r(8.0, 6.0, 0.0),Vector3r(3.0, 7.0, 0.0)
1110	Vector3r(4.0, 2.0, 0.0),Vector3r(7.0, 3.0, 0.0)	Vector3r(4.0, 2.0, 0.0),Vector3r(7.0, 3.0, 0.0)
792	Vector3r(3.0, 1.0, 0.0),Vector3r(5.0, 3.0, 0.0)	Vector3r(3.0, 1.0, 0.0),Vector3r(5.0, 3.0, 0.0)
500	Vector3r(1.0, 3.0, 0.0),Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0),Vector3r(1.0, 3.0, 0.0)
1005	Vector3r(3.0, 6.0, 0.0),Vector3r(7.0, 3.0, 0.0)	Vector3r(7.0, 3.0, 0.0),Vector3r(3.0, 6.0, 0.0)
860	Vector3r(7.0, 6.0, 0.0),Vector3r(8.0, 3.0, 0.0)	Vector3r(8.0, 3.0, 0.0),Vector3r(7.0, 6.0, 0.0)
1126	Vector3r(7.0, 4.0, 0.0),Vector3r(8.0, 7.0, 0.0)	Vector3r(8.0, 7.0, 0.0),Vector3r(7.0, 4.0, 0.0)
451	Vector3r(8.0, 1.0, 0.0),Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0),Vector3r(8.0, 1.0, 0.0)
856	Vector3r(1.0, 8.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 8.0, 0.0),Vector3r(6.0, 6.0, 0.0)
1199	Vector3r(1.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 1.0, 0.0),Vector3r(4.0, 8.0, 0.0)
981	Vector3r(6.0, 2.0, 0.0),Vector3r(7.0, 3.0, 0.0)	Vector3r(6.0, 2.0, 0.0),Vector3r(7.0, 3.0, 0.0)
632	Vector3r(4.0, 6.0, 0.0),Vector3r(4.0, 7.0, 0.0)	Vector3r(4.0, 7.0, 0.0),Vector3r(4.0, 6.0, 0.0)
305	Vector3r(0.0, 5.0, 0.0),Vector3r(1.0, 3.0, 0.0)	Vector3r(0.0, 5.0, 0.0),Vector3r(1.0, 3.0, 0.0)
1019	Vector3r(8.0, 7.0, 0.0),Vector3r(8.0, 6.0, 0.0)	Vector3r(8.0, 6.0, 0.0),Vector3r(8.0, 7.0, 0.0)
630	Vector3r(7.0, 8.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 9.0, 0.0),Vector3r(7.0, 8.0, 0.0)
225	Vector3r(4.0, 2.0, 0.0),Vector3r(0.0, 0.0, 0.0)	Vector3r(4.0, 2.0, 0.0),Vector3r(0.0, 0.0, 0.0)
1185	Vector3r(2.0, 3.0, 0.0),Vector3r(8.0, 3.0, 0.0)	Vector3r(8.0, 3.0, 0.0),Vector3r(2.0, 3.0, 0.0)
587	Vector3r(5.0, 5.0, 0.0),Vector3r(8.0, 7.0, 0.0)	Vector3r(8.0, 7.0, 0.0),Vector3r(5.0, 5.0, 0.0)
404	Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 1.0, 0.0),Vector3r(7.0, 7.0, 0.0)
1069	Vector3r(9.0, 9.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 0.0, 0.0),Vector3r(9.0, 9.0, 0.0)
458	Vector3r(3.0, 6.0, 0.0),Vector3r(9.0, 9.0, 0.0)	Vector3r(9.0, 9.0, 0.0),Vector3r(3.0, 6.0, 0.0)
906	Vector3r(1.0, 0.0, 0.0),Vector3r(7.0, 5.0, 0.0)	Vector3r(1.0, 0.0, 0.0),Vector3r(7.0, 5.0, 0.0)
662	Vector3r(0.0, 2.0, 0.0),Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 2.0, 0.0),Vector3r(0.0, 1.0, 0.0)
653	Vector3r(1.0, 0.0, 0.0),Vector3r(0.0, 2.0, 0.0)	Vector3r(1.0, 0.0, 0.0),Vector3r(0.0, 2.0, 0.0)
485	Vector3r(2.0, 7.0, 0.0),Vector3r(5.0, 7.0, 0.0)	Vector3r(2.0, 7.0, 0.0),Vector3r(5.0, 7.0, 0.0)
571	Vector3r(6.0, 7.0, 0.0),Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0),Vector3r(6.0, 7.0, 0.0)
542	Vector3r(3.0, 1.0, 0.0),Vector3r(2.0, 9.0, 0.0)	Vector3r(3.0, 1.0, 0.0),Vector3r(2.0, 9.0, 0.0)
1161	Vector3r(2.0, 9.0, 0.0),Vector3r(3.0, 2.0, 0.0)	Vector3r(3.0, 2.0, 0.0),Vector3r(2.0, 9.0, 0.0)
1317	Vector3r(7.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(6.0, 3.0, 0.0),Vector3r(7.0, 7.0, 0.0)
634	Vector3r(9.0, 6.0, 0.0),Vector3r(7.0, 4.0, 0.0)	Vector3r(9.0, 6.0, 0.0),Vector3r(7.0, 4.0, 0.0)
765	Vector3r(5.0, 2.0, 0.0),Vector3r(1.0, 5.0, 0.0)	Vector3r(5.0, 2.0, 0.0),Vector3r(1.0, 5.0, 0.0)
626	Vector3r(6.0, 2.0, 0.0),Vector3r(1.0, 6.0, 0.0)	Vector3r(1.0, 6.0, 0.0),Vector3r(6.0, 2.0, 0.0)
515	Vector3r(0.0, 2.0, 0.0),Vector3r(4.0, 7.0, 0.0)	Vector3r(4.0, 7.0, 0.0),Vector3r(0.0, 2.0, 0.0)
507	Vector3r(9.0, 7.0, 0.0),Vector3r(7.0, 6.0, 0.0)	Vector3r(9.0, 7.0, 0.0),Vector3r(7.0, 6.0, 0.0)
744	Vector3r(3.0, 5.0, 0.0),Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0),Vector3r(3.0, 5.0, 0.0)
579	Vector3r(5.0, 8.0, 0.0),Vector3r(1.0, 9.0, 0.0)	Vector3r(1.0, 9.0, 0.0),Vector3r(5.0, 8.0, 0.0)
733	Vector3r(1.0, 3.0, 0.0),Vector3r(8.0, 7.0, 0.0)	Vector3r(1.0, 3.0, 0.0),Vector3r(8.0, 7.0, 0.0)
670	Vector3r(1.0, 4.0, 0.0),Vector3r(3.0, 3.0, 0.0)	Vector3r(3.0, 3.0, 0.0),Vector3r(1.0, 4.0, 0.0)
737	Vector3r(1.0, 5.0, 0.0),Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0),Vector3r(1.0, 5.0, 0.0)
424	Vector3r(9.0, 8.0, 0.0),Vector3r(7.0, 1.0, 0.0)	Vector3r(9.0, 8.0, 0.0),Vector3r(4.0, 6.0, 0.0)
800	Vector3r(4.0, 1.0, 0.0),Vector3r(2.0, 4.0, 0.0)	Vector3r(2.0, 4.0, 0.0),Vector3r(4.0, 1.0, 0.0)
386	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 9.0, 0.0),Vector3r(6.0, 7.0, 0.0)
1074	Vector3r(3.0, 5.0, 0.0),Vector3r(6.0, 3.0, 0.0)	Vector3r(6.0, 3.0, 0.0),Vector3r(3.0, 5.0, 0.0)
546	Vector3r(4.0, 4.0, 0.0),Vector3r(5.0, 7.0, 0.0)	Vector3r(5.0, 7.0, 0.0),Vector3r(4.0, 4.0, 0.0)
484	Vector3r(6.0, 5.0, 0.0),Vector3r(4.0, 5.0, 0.0)	Vector3r(6.0, 5.0, 0.0),Vector3r(4.0, 5.0, 0.0)
578	Vector3r(7.0, 5.0, 0.0),Vector3r(9.0, 8.0, 0.0)	Vector3r(9.0, 8.0, 0.0),Vector3r(7.0, 5.0, 0.0)
401	Vector3r(1.0, 4.0, 0.0),Vector3r(8.0, 3.0, 0.0)	Vector3r(8.0, 3.0, 0.0),Vector3r(1.0, 4.0, 0.0)
986	Vector3r(4.0, 2.0, 0.0),Vector3r(0.0, 7.0, 0.0)	Vector3r(4.0, 2.0, 0.0),Vector3r(0.0, 7.0, 0.0)
611	Vector3r(2.0, 5.0, 0.0),Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0),Vector3r(2.0, 5.0, 0.0)
580	Vector3r(2.0, 7.0, 0.0),Vector3r(4.0, 5.0, 0.0)	Vector3r(2.0, 7.0, 0.0),Vector3r(4.0, 5.0, 0.0)
408	Vector3r(2.0, 6.0, 0.0),Vector3r(7.0, 2.0, 0.0)	Vector3r(2.0, 6.0, 0.0),Vector3r(7.0, 2.0, 0.0)
741	Vector3r(1.0, 3.0, 0.0),Vector3r(0.0, 5.0, 0.0)	Vector3r(0.0, 5.0, 0.0),Vector3r(1.0, 3.0, 0.0)
1108	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 0.0, 0.0),Vector3r(2.0, 5.0, 0.0)
715	Vector3r(1.0, 7.0, 0.0),Vector3r(2.0, 2.0, 0.0)	Vector3r(1.0, 7.0, 0.0),Vector3r(2.0, 2.0, 0.0)
672	Vector3r(6.0, 8.0, 0.0),Vector3r(2.0, 0.0, 0.0)	Vector3r(2.0, 0.0, 0.0),Vector3r(6.0, 8.0, 0.0)
690	Vector3r(8.0, 4.0, 0.0),Vector3r(8.0, 2.0, 0.0)	Vector3r(8.0, 4.0, 0.0),Vector3r(8.0, 2.0, 0.0)
541	Vector3r(1.0, 0.0, 0.0),Vector3r(4.0, 3.0, 0.0)	Vector3r(1.0, 0.0, 0.0),Vector3r(4.0, 3.0, 0.0)
656	Vector3r(6.0, 4.0, 0.0),Vector3r(8.0, 7.0, 0.0)	Vector3r(6.0, 4.0, 0.0),Vector3r(8.0, 7.0, 0.0)
561	Vector3r(1.0, 7.0, 0.0),Vector3r(7.0, 8.0, 0.0)	Vector3r(1.0, 7.0, 0.0),Vector3r(7.0, 8.0, 0.0)
339	Vector3r(4.0, 5.0, 0.0),Vector3r(3.0, 8.0, 0.0)	Vector3r(4.0, 5.0, 0.0),Vector3r(3.0, 8.0, 0.0)
299	Vector3r(5.0, 9.0, 0.0),Vector3r(3.0, 6.0, 0.0)	Vector3r(5.0, 9.0, 0.0),Vector3r(3.0, 6.0, 0.0)
1113	Vector3r(2.0, 5.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(2.0, 5.0, 0.0),Vector3r(3.0, 6.0, 0.0)
497	Vector3r(1.0, 9.0, 0.0),Vector3r(2.0, 0.0, 0.0)	Vector3r(1.0, 9.0, 0.0),Vector3r(2.0, 0.0, 0.0)
595	Vector3r(5.0, 9.0, 0.0),Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0),Vector3r(5.0, 9.0, 0.0)
860	Vector3r(5.0, 6.0, 0.0),Vector3r(7.0, 4.0, 0.0)	Vector3r(5.0, 6.0, 0.0),Vector3r(7.0, 4.0, 0.0)
584	Vector3r(7.0, 2.0, 0.0),Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0),Vector3r(7.0, 2.0, 0.0)
969	Vector3r(3.0, 5.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 5.0, 0.0),Vector3r(5.0, 3.0, 0.0)
736	Vector3r(6.0, 9.0, 0.0),Vector3r(3.0, 5.0, 0.0)	Vector3r(6.0, 9.0, 0.0),Vector3r(3.0, 5.0, 0.0)
796	Vector3r(2.0, 8.0, 0.0),Vector3r(6.0, 5.0, 0.0)	Vector3r(2.0, 8.0, 0.0),Vector3r(6.0, 5.0, 0.0)
1243	Vector3r(8.0, 4.0, 0.0),Vector3r(0.0, 1.0, 0.0)	Vector3r(8.0, 4.0, 0.0),Vector3r(0.0, 1.0, 0.0)
305	Vector3r(1.0, 5.0, 0.0),Vector3r(5.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0),Vector3r(5.0, 5.0, 0.0)
1142	Vector3r(4.0, 3.0, 0.0),Vector3r(9.0, 7.0, 0.0)	Vector3r(4.0, 3.0, 0.0),Vector3r(9.0, 7.0, 0.0)
774	Vector3r(1.0, 3.0, 0.0),Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0),Vector3r(1.0, 3.0, 0.0)
626	Vector3r(7.0, 0.0, 0.0),Vector3r(9.0, 5.0, 0.0)	Vector3r(7.0, 0.0, 0.0),Vector3r(9.0, 5.0, 0.0)
1020	Vector3r(1.0, 9.0, 0.0),Vector3r(4.0, 2.0, 0.0)	Vector3r(1.0, 9.0, 0.0),Vector3r(4.0, 2.0, 0.0)
1119	Vector3r(1.0, 6.0, 0.0),Vector3r(4.0, 1.0, 0.0)	Vector3r(1.0, 6.0, 0.0),Vector3r(4.0, 1.0, 0.0)
617	Vector3r(6.0, 1.0, 0.0),Vector3r(1.0, 4.0, 0.0)	Vector3r(6.0, 1.0, 0.0),Vector3r(1.0, 4.0, 0.0)
767	Vector3r(8.0, 8.0, 0.0),Vector3r(0.0, 5.0, 0.0)	Vector3r(8.0, 8.0, 0.0),Vector3r(7.0, 7.0, 0.0)
1175	Vector3r(8.0, 1.0, 0.0),Vector3r(6.0, 7.0, 0.0)	Vector3r(8.0, 1.0, 0.0),Vector3r(6.0, 7.0, 0.0)
1330	Vector3r(8.0, 0.0, 0.0),Vector3r(7.0, 8.0, 0.0)	Vector3r(7.0, 8.0, 0.0),Vector3r(8.0, 0.0, 0.0)
1347	Vector3r(7.0, 4.0, 0.0),Vector3r(3.0, 7.0, 0.0)	Vector3r(3.0, 7.0, 0.0),Vector3r(7.0, 4.0, 0.0)
620	Vector3r(8.0, 4.0, 0.0),Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 4.0, 0.0),Vector3r(8.0, 1.0, 0.0)
773	Vector3r(0.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 2.0, 0.0),Vector3r(0.0, 7.0, 0.0)
760	Vector3r(7.0, 2.0, 0.0),Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0),Vector3r(7.0, 2.0, 0.0)
859	Vector3r(0.0, 7.0, 0.0),Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0),Vector3r(0.0, 7.0, 0.0)
765	Vector3r(3.0, 4.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(7.0, 0.0, 0.0),Vector3r(3.0, 4.0, 0.0)
328	Vector3r(7.0, 9.0, 0.0),Vector3r(7.0, 6.0, 0.0)	Vector3r(7.0, 9.0, 0.0),Vector3r(3.0, 9.0, 0.0)
328	Vector3r(7.0, 2.0, 0.0),Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0),Vector3r(7.0, 2.0, 0.0)
699	Vector3r(1.0, 8.0, 0.0),Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 8.0, 0.0),Vector3r(1.0, 3.0, 0.0)
769	Vector3r(8.0, 5.0, 0.0),Vector3r(0.0, 4.0, 0.0)	Vector3r(8.0, 5.0, 0.0),Vector3r(0.0, 4.0, 0.0)
773	Vector3r(9.0, 5.0, 0.0),Vector3r(6.0, 0.0, 0.0)	Vector3r(6.0, 0.0, 0.0),Vector3r(9.0, 5.0, 0.0)
397	Vector3r(6.0, 1.0, 0.0),Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 1.0, 0.0),Vector3r(6.0, 7.0, 0.0)
668	Vector3r(-1.0, -1.0, 0.0)	Vector3r(1.0, 3.0, 0.0),Vector3r(2.0, 6.0, 0.0)
