TTD	ConcludedLocation	ActualLocation
111	Vector3r(9.0, 1.0, 0.0),Vector3r(7.0, 2.0, 0.0),Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(7.0, 2.0, 0.0),Vector3r(9.0, 1.0, 0.0)
153	Vector3r(1.0, 5.0, 0.0),Vector3r(2.0, 8.0, 0.0),Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0),Vector3r(1.0, 5.0, 0.0),Vector3r(2.0, 8.0, 0.0)
192	Vector3r(9.0, 4.0, 0.0),Vector3r(9.0, 7.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 5.0, 0.0),Vector3r(9.0, 7.0, 0.0),Vector3r(9.0, 4.0, 0.0)
57	Vector3r(1.0, 1.0, 0.0),Vector3r(8.0, 1.0, 0.0),Vector3r(6.0, 3.0, 0.0)	Vector3r(8.0, 1.0, 0.0),Vector3r(1.0, 1.0, 0.0),Vector3r(6.0, 3.0, 0.0)
178	Vector3r(2.0, 2.0, 0.0),Vector3r(9.0, 5.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(8.0, 1.0, 0.0),Vector3r(2.0, 2.0, 0.0),Vector3r(9.0, 5.0, 0.0)
165	Vector3r(1.0, 0.0, 0.0),Vector3r(6.0, 8.0, 0.0),Vector3r(5.0, 1.0, 0.0)	Vector3r(6.0, 8.0, 0.0),Vector3r(1.0, 0.0, 0.0),Vector3r(5.0, 1.0, 0.0)
214	Vector3r(6.0, 7.0, 0.0),Vector3r(6.0, 1.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(4.0, 6.0, 0.0),Vector3r(6.0, 1.0, 0.0),Vector3r(6.0, 7.0, 0.0)
182	Vector3r(3.0, 1.0, 0.0),Vector3r(0.0, 9.0, 0.0),Vector3r(-1.0, -1.0, 0.0)	Vector3r(0.0, 9.0, 0.0),Vector3r(4.0, 3.0, 0.0),Vector3r(3.0, 1.0, 0.0)
115	Vector3r(4.0, 0.0, 0.0),Vector3r(2.0, 6.0, 0.0),Vector3r(9.0, 7.0, 0.0)	Vector3r(4.0, 0.0, 0.0),Vector3r(9.0, 7.0, 0.0),Vector3r(2.0, 6.0, 0.0)
183	Vector3r(7.0, 4.0, 0.0),Vector3r(0.0, 7.0, 0.0),Vector3r(5.0, 2.0, 0.0)	Vector3r(0.0, 7.0, 0.0),Vector3r(5.0, 2.0, 0.0),Vector3r(7.0, 4.0, 0.0)
