TTD	ConcludedLocation	ActualLocation
300	Vector3r(4.0, 5.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
417	Vector3r(6.0, 9.0, 0.0)	Vector3r(6.0, 9.0, 0.0)
798	Vector3r(0.0, 0.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
299	Vector3r(4.0, 9.0, 0.0)	Vector3r(1.0, 6.0, 0.0)
1056	Vector3r(3.0, 7.0, 0.0)	Vector3r(3.0, 7.0, 0.0)
506	Vector3r(2.0, 5.0, 0.0)	Vector3r(2.0, 5.0, 0.0)
466	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
294	Vector3r(2.0, 4.0, 0.0)	Vector3r(2.0, 4.0, 0.0)
233	Vector3r(2.0, 7.0, 0.0)	Vector3r(2.0, 7.0, 0.0)
315	Vector3r(5.0, 3.0, 0.0)	Vector3r(5.0, 3.0, 0.0)
520	Vector3r(9.0, 2.0, 0.0)	Vector3r(9.0, 2.0, 0.0)
677	Vector3r(4.0, 1.0, 0.0)	Vector3r(4.0, 1.0, 0.0)
151	Vector3r(3.0, 7.0, 0.0)	Vector3r(7.0, 1.0, 0.0)
634	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
260	Vector3r(4.0, 8.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
548	Vector3r(3.0, 3.0, 0.0)	Vector3r(3.0, 3.0, 0.0)
287	Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
858	Vector3r(9.0, 8.0, 0.0)	Vector3r(9.0, 8.0, 0.0)
429	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
442	Vector3r(0.0, 3.0, 0.0)	Vector3r(0.0, 3.0, 0.0)
1286	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
522	Vector3r(1.0, 9.0, 0.0)	Vector3r(1.0, 9.0, 0.0)
