TTD	ConcludedLocation	ActualLocation
593	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
380	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
331	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
557	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
339	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
291	Vector3r(6.0, 8.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
337	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
384	Vector3r(9.0, 6.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
370	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
233	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
312	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
339	Vector3r(1.0, 4.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
1027	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
653	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
292	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
287	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
363	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
545	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
555	Vector3r(-1.0, -1.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
680	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
379	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
1071	Vector3r(4.0, 9.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
556	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
277	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
704	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
482	Vector3r(1.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
345	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
579	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
244	Vector3r(2.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
1289	Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
538	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
319	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
344	Vector3r(1.0, 3.0, 0.0)	Vector3r(1.0, 3.0, 0.0)
355	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
325	Vector3r(2.0, 3.0, 0.0)	Vector3r(2.0, 3.0, 0.0)
1004	Vector3r(-1.0, -1.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
248	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
700	Vector3r(7.0, 0.0, 0.0)	Vector3r(7.0, 0.0, 0.0)
634	Vector3r(2.0, 1.0, 0.0)	Vector3r(2.0, 1.0, 0.0)
1361	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
392	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
395	Vector3r(3.0, 2.0, 0.0)	Vector3r(3.0, 2.0, 0.0)
400	Vector3r(2.0, 2.0, 0.0)	Vector3r(2.0, 2.0, 0.0)
574	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
306	Vector3r(6.0, 3.0, 0.0)	Vector3r(3.0, 3.0, 0.0)
562	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
391	Vector3r(9.0, 4.0, 0.0)	Vector3r(2.0, 5.0, 0.0)
1037	Vector3r(6.0, 2.0, 0.0)	Vector3r(6.0, 2.0, 0.0)
1150	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
241	Vector3r(0.0, 1.0, 0.0)	Vector3r(0.0, 1.0, 0.0)
588	Vector3r(9.0, 3.0, 0.0)	Vector3r(9.0, 3.0, 0.0)
512	Vector3r(8.0, 8.0, 0.0)	Vector3r(8.0, 8.0, 0.0)
874	Vector3r(-1.0, -1.0, 0.0)	Vector3r(9.0, 0.0, 0.0)
892	Vector3r(8.0, 7.0, 0.0)	Vector3r(8.0, 7.0, 0.0)
372	Vector3r(2.0, 4.0, 0.0)	Vector3r(2.0, 4.0, 0.0)
471	Vector3r(4.0, 7.0, 0.0)	Vector3r(4.0, 7.0, 0.0)
589	Vector3r(1.0, 8.0, 0.0)	Vector3r(1.0, 8.0, 0.0)
295	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
348	Vector3r(6.0, 4.0, 0.0)	Vector3r(6.0, 4.0, 0.0)
922	Vector3r(0.0, 6.0, 0.0)	Vector3r(0.0, 6.0, 0.0)
358	Vector3r(7.0, 2.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
325	Vector3r(8.0, 4.0, 0.0)	Vector3r(8.0, 4.0, 0.0)
