TTD	ConcludedLocation	ActualLocation
593	Vector3r(9.0, 1.0, 0.0)	Vector3r(9.0, 1.0, 0.0)
580	Vector3r(7.0, 2.0, 0.0)	Vector3r(7.0, 2.0, 0.0)
531	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
557	Vector3r(1.0, 5.0, 0.0)	Vector3r(1.0, 5.0, 0.0)
547	Vector3r(9.0, 7.0, 0.0)	Vector3r(9.0, 7.0, 0.0)
793	Vector3r(9.0, 4.0, 0.0)	Vector3r(9.0, 4.0, 0.0)
827	Vector3r(1.0, 1.0, 0.0)	Vector3r(1.0, 1.0, 0.0)
808	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
746	Vector3r(8.0, 1.0, 0.0)	Vector3r(8.0, 1.0, 0.0)
824	Vector3r(9.0, 5.0, 0.0)	Vector3r(9.0, 5.0, 0.0)
521	Vector3r(6.0, 8.0, 0.0)	Vector3r(6.0, 8.0, 0.0)
710	Vector3r(5.0, 1.0, 0.0)	Vector3r(5.0, 1.0, 0.0)
697	Vector3r(6.0, 7.0, 0.0)	Vector3r(6.0, 7.0, 0.0)
749	Vector3r(4.0, 6.0, 0.0)	Vector3r(4.0, 6.0, 0.0)
555	Vector3r(3.0, 1.0, 0.0)	Vector3r(3.0, 1.0, 0.0)
670	Vector3r(0.0, 9.0, 0.0)	Vector3r(0.0, 9.0, 0.0)
1039	Vector3r(2.0, 6.0, 0.0)	Vector3r(2.0, 6.0, 0.0)
486	Vector3r(4.0, 0.0, 0.0)	Vector3r(4.0, 0.0, 0.0)
755	Vector3r(5.0, 2.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
758	Vector3r(7.0, 4.0, 0.0)	Vector3r(7.0, 4.0, 0.0)
701	Vector3r(6.0, 1.0, 0.0)	Vector3r(6.0, 1.0, 0.0)
649	Vector3r(0.0, 7.0, 0.0)	Vector3r(4.0, 9.0, 0.0)
578	Vector3r(4.0, 4.0, 0.0)	Vector3r(4.0, 4.0, 0.0)
824	Vector3r(0.0, 7.0, 0.0)	Vector3r(0.0, 7.0, 0.0)
1026	Vector3r(7.0, 9.0, 0.0)	Vector3r(7.0, 9.0, 0.0)
815	Vector3r(3.0, 8.0, 0.0)	Vector3r(3.0, 8.0, 0.0)
634	Vector3r(0.0, 4.0, 0.0)	Vector3r(0.0, 4.0, 0.0)
688	Vector3r(4.0, 2.0, 0.0)	Vector3r(4.0, 2.0, 0.0)
530	Vector3r(1.0, 3.0, 0.0)	Vector3r(5.0, 2.0, 0.0)
676	Vector3r(0.0, 2.0, 0.0)	Vector3r(0.0, 2.0, 0.0)
465	Vector3r(8.0, 9.0, 0.0)	Vector3r(8.0, 9.0, 0.0)
519	Vector3r(0.0, 0.0, 0.0)	Vector3r(0.0, 0.0, 0.0)
